Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,1/31/2023,116,N334JB,JFK,14:29,15:01,73,86,32,14:58,3,19,0,13,0,0
B6,1/31/2023,2516,N231JB,JFK,23:07,23:11,72,81,4,23:07,4,0,0,0,0,0
B6,2/1/2023,116,N231JB,JFK,14:29,14:27,73,81,-2,14:20,7,0,0,0,0,0
B6,2/1/2023,2516,N318JB,JFK,23:07,22:57,72,71,-10,22:52,5,0,0,0,0,0
B6,2/2/2023,116,N317JB,JFK,14:29,14:21,73,72,-8,14:18,3,0,0,0,0,0
B6,2/2/2023,656,N621JB,MCO,18:59,18:57,161,170,-2,18:51,6,0,0,0,0,0
B6,2/2/2023,2516,N258JB,JFK,23:07,22:59,72,69,-8,22:55,4,0,0,0,0,0
B6,2/3/2023,116,N334JB,JFK,14:29,10:20,73,0,0,9:55,25,0,0,0,0,0
B6,2/3/2023,656,N665JB,MCO,18:59,0:00,161,0,0,0:00,0,0,0,0,0,0
B6,2/3/2023,2516,N354JB,JFK,23:07,0:00,72,0,0,0:00,0,0,0,0,0,0
B6,2/4/2023,116,N641JB,JFK,14:29,14:41,73,67,12,14:36,5,0,0,0,0,0
B6,2/4/2023,656,N796JB,MCO,18:59,19:13,161,167,14,19:09,4,0,0,0,0,0
B6,2/4/2023,2516,N328JB,JFK,23:07,23:39,72,65,32,23:35,4,32,0,0,0,0
B6,2/5/2023,116,N192JB,JFK,14:29,14:27,73,61,-2,14:24,3,0,0,0,0,0
B6,2/5/2023,656,N651JB,MCO,18:59,19:10,161,161,11,19:06,4,0,0,0,0,0
B6,2/5/2023,2516,N265JB,JFK,23:07,23:03,72,77,-4,22:59,4,0,0,0,0,0
B6,2/6/2023,116,N267JB,JFK,14:18,14:36,73,61,18,14:33,3,18,0,0,0,0
B6,2/6/2023,656,N793JB,MCO,19:01,19:31,161,175,30,19:27,4,9,0,14,0,7
B6,2/6/2023,2516,N267JB,JFK,23:31,23:27,71,76,-4,23:23,4,0,0,0,0,0
B6,2/7/2023,116,N265JB,JFK,14:18,14:20,73,74,2,14:16,4,0,0,0,0,0
B6,2/7/2023,2516,N187JB,JFK,23:31,23:22,71,70,-9,23:17,5,0,0,0,0,0
B6,2/8/2023,116,N198JB,JFK,14:18,13:58,73,64,-20,13:56,2,0,0,0,0,0
B6,2/8/2023,2516,N187JB,JFK,23:31,23:28,71,67,-3,23:24,4,0,0,0,0,0
B6,2/9/2023,116,N216JB,JFK,14:18,15:47,73,72,89,15:44,3,13,0,0,0,76
B6,2/9/2023,656,N779JB,MCO,19:01,18:42,161,151,-19,18:38,4,0,0,0,0,0
B6,2/9/2023,2516,N187JB,JFK,23:31,23:27,71,70,-4,23:23,4,0,0,0,0,0
B6,2/10/2023,116,N267JB,JFK,14:18,15:21,73,75,63,15:17,4,3,0,2,0,58
B6,2/10/2023,656,N638JB,MCO,19:01,19:44,161,166,43,19:39,5,25,0,5,0,13
B6,2/10/2023,2516,N198JB,JFK,23:31,23:48,71,78,17,23:42,6,9,0,7,0,1
B6,2/11/2023,116,N354JB,JFK,14:18,14:39,73,99,21,14:34,5,0,0,21,0,0
B6,2/11/2023,656,N712JB,MCO,19:01,18:49,161,148,-12,18:45,4,0,0,0,0,0
B6,2/11/2023,2516,N324JB,JFK,23:31,23:47,71,59,16,23:43,4,16,0,0,0,0
B6,2/12/2023,116,N249JB,JFK,14:18,14:01,73,64,-17,13:58,3,0,0,0,0,0
B6,2/12/2023,656,N535JB,MCO,19:01,19:09,161,163,8,19:03,6,0,0,0,0,0
