Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/30/2023,2617,N66831,EWR,23:12,23:15,74,74,3,23:11,4,0,0,0,0,0
UA,1/31/2023,604,N851UA,DEN,14:59,14:47,193,175,-12,14:40,7,0,0,0,0,0
UA,1/31/2023,1998,N808UA,ORD,21:17,20:52,113,97,-25,20:48,4,0,0,0,0,0
UA,1/31/2023,2617,N68807,EWR,23:12,22:59,74,66,-13,22:55,4,0,0,0,0,0
UA,2/1/2023,604,N855UA,DEN,14:59,15:02,193,193,3,14:57,5,0,0,0,0,0
UA,2/1/2023,1998,N876UA,ORD,21:17,21:09,113,103,-8,21:04,5,0,0,0,0,0
UA,2/1/2023,2617,N68822,EWR,23:12,22:56,74,62,-16,22:44,12,0,0,0,0,0
UA,2/2/2023,604,N817UA,DEN,14:59,14:45,193,185,-14,14:39,6,0,0,0,0,0
UA,2/2/2023,1998,N895UA,ORD,21:17,21:09,113,114,-8,21:04,5,0,0,0,0,0
UA,2/2/2023,2617,N36476,EWR,23:12,23:05,74,67,-7,22:58,7,0,0,0,0,0
UA,2/3/2023,604,N840UA,DEN,14:59,15:03,193,198,4,14:53,10,0,0,0,0,0
UA,2/3/2023,1998,N899UA,ORD,21:17,21:51,113,111,34,21:44,7,0,34,0,0,0
UA,2/3/2023,2617,N37474,EWR,23:12,0:31,74,78,79,0:21,10,53,0,4,0,22
UA,2/4/2023,604,N811UA,DEN,14:59,14:57,193,187,-2,14:51,6,0,0,0,0,0
UA,2/4/2023,1998,N820UA,ORD,21:17,20:59,113,102,-18,20:52,7,0,0,0,0,0
UA,2/5/2023,604,N830UA,DEN,15:02,14:52,193,187,-10,14:46,6,0,0,0,0,0
UA,2/5/2023,1998,N877UA,ORD,21:17,21:04,113,95,-13,21:00,4,0,0,0,0,0
UA,2/6/2023,604,N847UA,DEN,14:59,14:44,193,186,-15,14:38,6,0,0,0,0,0
UA,2/6/2023,1998,N875UA,ORD,21:17,21:08,113,116,-9,21:03,5,0,0,0,0,0
UA,2/7/2023,604,N832UA,DEN,14:59,14:56,193,182,-3,14:52,4,0,0,0,0,0
UA,2/7/2023,1998,N803UA,ORD,21:17,20:59,113,101,-18,20:53,6,0,0,0,0,0
UA,2/8/2023,604,N817UA,DEN,14:59,14:43,193,181,-16,14:39,4,0,0,0,0,0
UA,2/8/2023,1998,N846UA,ORD,21:17,21:05,113,115,-12,21:00,5,0,0,0,0,0
UA,2/9/2023,604,N826UA,DEN,14:59,14:52,193,186,-7,14:45,7,0,0,0,0,0
UA,2/9/2023,1998,N828UA,ORD,21:17,21:23,113,111,6,21:18,5,0,0,0,0,0
UA,2/9/2023,2617,N78438,EWR,23:12,22:50,74,60,-22,22:45,5,0,0,0,0,0
UA,2/10/2023,604,N4888U,DEN,14:58,14:58,196,197,0,14:53,5,0,0,0,0,0
UA,2/10/2023,765,N27256,EWR,23:28,23:30,73,59,2,23:24,6,0,0,0,0,0
UA,2/10/2023,1693,N895UA,ORD,16:43,16:40,106,107,-3,16:34,6,0,0,0,0,0
UA,2/10/2023,1998,N896UA,ORD,21:08,21:01,109,107,-7,20:56,5,0,0,0,0,0
UA,2/11/2023,454,N15712,ORD,23:59,23:57,114,113,-2,23:40,17,0,0,0,0,0
UA,2/11/2023,604,N805UA,DEN,14:58,14:52,196,195,-6,14:47,5,0,0,0,0,0
UA,2/11/2023,765,N87512,EWR,23:37,23:40,73,56,3,23:35,5,0,0,0,0,0
UA,2/11/2023,1693,N407UA,ORD,16:43,16:44,106,102,1,16:39,5,0,0,0,0,0
UA,2/12/2023,604,N4888U,DEN,14:58,15:02,196,197,4,14:52,10,0,0,0,0,0
UA,2/12/2023,765,N820UA,EWR,23:12,22:52,73,62,-20,22:46,6,0,0,0,0,0
UA,2/12/2023,1693,N854UA,ORD,16:43,16:24,106,96,-19,16:19,5,0,0,0,0,0
