Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
WN,2/2/2023,1556,N287WN,BWI,22:55,22:48,70,65,-7,22:42,6,0,0,0,0,0
WN,2/2/2023,2309,N254WN,BWI,16:15,16:19,70,64,4,16:17,2,0,0,0,0,0
WN,2/3/2023,1003,N8522P,BWI,12:00,11:55,70,63,-5,11:53,2,0,0,0,0,0
WN,2/3/2023,1556,N275WN,BWI,22:55,23:33,70,81,38,23:30,3,0,0,11,0,27
WN,2/3/2023,2309,N7876A,BWI,16:15,16:29,70,86,14,16:24,5,0,0,0,0,0
WN,2/4/2023,1003,N8315C,BWI,12:00,11:51,70,63,-9,11:48,3,0,0,0,0,0
WN,2/4/2023,2309,N8316H,BWI,15:10,15:41,70,107,31,14:53,48,0,0,31,0,0
WN,2/4/2023,2541,N750SA,BWI,22:00,21:51,70,69,-9,21:47,4,0,0,0,0,0
WN,2/4/2023,2695,N8751R,MCO,13:45,13:42,160,161,-3,13:38,4,0,0,0,0,0
WN,2/5/2023,1199,N7865A,BWI,16:55,16:52,70,68,-3,16:48,4,0,0,0,0,0
WN,2/5/2023,1578,N7846A,BWI,12:40,12:26,70,67,-14,12:22,4,0,0,0,0,0
WN,2/5/2023,2554,N459WN,BWI,23:05,22:53,70,60,-12,22:50,3,0,0,0,0,0
WN,2/6/2023,1003,N8680C,BWI,12:00,12:12,70,72,12,12:10,2,0,0,0,0,0
WN,2/6/2023,1556,N7815L,BWI,22:55,22:43,70,60,-12,22:40,3,0,0,0,0,0
WN,2/6/2023,2309,N946WN,BWI,16:15,16:07,70,66,-8,16:04,3,0,0,0,0,0
WN,2/7/2023,1003,N8672F,BWI,12:00,12:03,70,60,3,12:01,2,0,0,0,0,0
WN,2/7/2023,1556,N930WN,BWI,22:55,22:46,70,68,-9,22:43,3,0,0,0,0,0
WN,2/7/2023,2309,N7732A,BWI,16:15,16:14,70,68,-1,16:11,3,0,0,0,0,0
WN,2/8/2023,1003,N8568Z,BWI,12:00,11:50,70,65,-10,11:48,2,0,0,0,0,0
WN,2/8/2023,1556,N415WN,BWI,22:55,22:57,70,69,2,22:54,3,0,0,0,0,0
WN,2/8/2023,2309,N246LV,BWI,16:15,16:41,70,58,26,16:39,2,25,0,0,0,1
WN,2/9/2023,1003,N8620H,BWI,12:00,11:54,70,65,-6,11:51,3,0,0,0,0,0
WN,2/9/2023,1556,N947WN,BWI,22:55,22:52,70,64,-3,22:49,3,0,0,0,0,0
WN,2/9/2023,2309,N232WN,BWI,16:15,16:01,70,61,-14,15:58,3,0,0,0,0,0
WN,2/10/2023,1003,N8815L,BWI,12:00,11:47,70,64,-13,11:44,3,0,0,0,0,0
WN,2/10/2023,1556,N414WN,BWI,22:55,22:49,70,59,-6,22:46,3,0,0,0,0,0
WN,2/10/2023,2309,N293WN,BWI,16:15,16:06,70,68,-9,16:04,2,0,0,0,0,0
WN,2/11/2023,1003,N8517F,BWI,12:00,12:07,70,85,7,12:04,3,0,0,0,0,0
WN,2/11/2023,2309,N8609A,BWI,15:10,15:13,70,60,3,15:11,2,0,0,0,0,0
WN,2/11/2023,2541,N426WN,BWI,22:00,22:27,70,64,27,22:24,3,27,0,0,0,0
WN,2/11/2023,2695,N8651A,MCO,13:45,13:49,160,146,4,13:46,3,0,0,0,0,0
WN,2/12/2023,1199,N7827A,BWI,16:55,16:49,70,57,-6,16:47,2,0,0,0,0,0
WN,2/12/2023,1578,N269WN,BWI,12:40,12:29,70,60,-11,12:26,3,0,0,0,0,0
WN,2/12/2023,2554,N448WN,BWI,23:05,23:24,70,70,19,23:20,4,0,0,0,0,19
WN,2/13/2023,1003,N8719Q,BWI,12:00,11:57,70,60,-3,11:53,4,0,0,0,0,0
WN,2/13/2023,1556,N948WN,BWI,22:55,22:50,70,66,-5,22:47,3,0,0,0,0,0
WN,2/13/2023,2309,N7835A,BWI,16:15,15:59,70,62,-16,15:57,2,0,0,0,0,0
WN,2/14/2023,1003,N8686A,BWI,12:00,11:54,70,66,-6,11:51,3,0,0,0,0,0
WN,2/14/2023,1556,N279WN,BWI,22:55,22:48,70,64,-7,22:45,3,0,0,0,0,0
WN,2/14/2023,2309,N734SA,BWI,16:15,16:07,70,64,-8,16:05,2,0,0,0,0,0
WN,2/15/2023,1003,N8531Q,BWI,12:00,11:46,70,60,-14,11:43,3,0,0,0,0,0
WN,2/15/2023,1556,N7833A,BWI,22:55,22:51,70,66,-4,22:48,3,0,0,0,0,0
WN,2/15/2023,2309,N933WN,BWI,16:15,15:59,70,64,-16,15:57,2,0,0,0,0,0
WN,2/16/2023,1003,N8616C,BWI,12:00,11:43,70,56,-17,11:40,3,0,0,0,0,0
WN,2/16/2023,1556,N7860A,BWI,22:55,22:41,70,57,-14,22:38,3,0,0,0,0,0
WN,2/16/2023,2309,N932WN,BWI,16:15,16:39,70,61,24,16:36,3,3,0,0,0,21
WN,2/17/2023,1003,N8534Z,BWI,12:00,11:53,70,63,-7,11:51,2,0,0,0,0,0
WN,2/17/2023,1556,N951WN,BWI,22:55,23:02,70,63,7,22:59,3,0,0,0,0,0
WN,2/17/2023,2309,N210WN,BWI,16:15,16:13,70,62,-2,16:10,3,0,0,0,0,0
WN,2/18/2023,1003,N8622A,BWI,12:00,11:59,70,69,-1,11:56,3,0,0,0,0,0
WN,2/18/2023,2309,N8308K,BWI,15:10,15:23,70,61,13,15:20,3,0,0,0,0,0
WN,2/18/2023,2541,N926WN,BWI,22:00,21:47,70,61,-13,21:45,2,0,0,0,0,0
WN,2/18/2023,2695,N8685B,MCO,13:45,13:50,160,161,5,13:47,3,0,0,0,0,0
WN,2/18/2023,6247,N7821L,BWI,9:35,9:35,70,70,0,9:32,3,0,0,0,0,0
WN,2/19/2023,1199,N462WN,BWI,16:55,16:51,70,67,-4,16:47,4,0,0,0,0,0
WN,2/19/2023,1578,N7728D,BWI,12:40,12:39,70,60,-1,12:35,4,0,0,0,0,0
WN,2/19/2023,2554,N7873A,BWI,23:05,22:54,70,64,-11,22:50,4,0,0,0,0,0
WN,2/20/2023,1003,N8819L,BWI,12:00,11:59,70,61,-1,11:56,3,0,0,0,0,0
WN,2/20/2023,1556,N211WN,BWI,22:55,23:03,70,69,8,23:01,2,0,0,0,0,0
WN,2/20/2023,2309,N7835A,BWI,16:15,16:04,70,61,-11,16:02,2,0,0,0,0,0
WN,2/21/2023,1003,N8622A,BWI,12:00,11:54,70,67,-6,11:50,4,0,0,0,0,0
WN,2/21/2023,1556,N793SA,BWI,22:55,23:05,70,66,10,23:02,3,0,0,0,0,0
WN,2/21/2023,2309,N7743B,BWI,16:15,16:07,70,68,-8,16:04,3,0,0,0,0,0
WN,2/22/2023,1003,N8581Z,BWI,12:00,11:58,70,69,-2,11:55,3,0,0,0,0,0
WN,2/22/2023,1556,N259WN,BWI,22:55,0:00,70,0,0,0:00,0,0,0,0,0,0
WN,2/22/2023,2309,N254WN,BWI,16:15,16:40,70,58,25,16:37,3,16,0,0,0,9
WN,2/23/2023,1003,N8818Q,BWI,12:00,11:56,70,63,-4,11:54,2,0,0,0,0,0
